#G1	G2	K	sketchsize	ANI	WJI	JI	Mash	Dash1	SM	BD8	BD1	SS8	SS1	FSS8	FSS1	PMH8Exact	PMH8-50000000	PMH1Exact	PMH1-50000000
../fasta/ref/bacteria/69/69/GCF_022569695.1_ASM2256969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_002769695.1_ASM276969v1_genomic.fna.gz	21	131072	74.901	4.9634004e-05	4.911014e-05	0.0	0.00422385	0.0	0.0	0.0040283203	0.0	0.0	0.0	0.0	0.0	0.026855469	0.010661765	0.035661764
../fasta/ref/bacteria/69/69/GCF_900169695.1_15.TR.020_20OXA_OXA-48_KPC_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000669695.1_Myco_tube_OFXR-28_V1_genomic.fna.gz	21	131072	75.2994	4.289613e-05	4.2795193e-05	0.0	0.0	0.0	0.0	0.003967285	0.00048828125	0.0	0.0	0.0005219347	0.0	0.044433594	0.012316177	0.05502451
../fasta/ref/bacteria/69/69/GCF_015669695.1_ASM1566969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_022369695.1_ASM2236969v1_genomic.fna.gz	21	131072	88.0654	0.00014969123	0.00012417478	0.0	0.0	0.0	0.0	0.0032348633	0.0	0.0005473134	0.00048828125	0.001090945	0.0	0.021484375	0.012132353	0.03259804
../fasta/ref/bacteria/69/69/GCF_014169695.1_ASM1416969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000569695.1_Stap_aure_M91155_V1_genomic.fna.gz	21	131072	78.861	0.00013362021	4.4536104e-05	0.0	0.00725148	0.0	0.0	0.004638672	0.0	0.0	0.0	0.0	0.0	0.032714844	0.01194853	0.040686276
../fasta/ref/bacteria/69/34/GCF_003634695.1_ASM363469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_006234695.1_ASM623469v1_genomic.fna.gz	21	131072	74.4629	3.6904185e-05	3.6904185e-05	0.0	0.000961673	0.0	0.0	0.0041503906	0.0	0.0	0.0	0.0009003854	0.0	0.045410156	0.010661765	0.05245098
../fasta/ref/bacteria/69/34/GCF_002934695.1_ASM293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_001334695.1_6593_5_12_genomic.fna.gz	21	131072	77.7434	7.5390286e-05	7.469699e-05	0.0	0.0	0.0	0.0	0.003540039	0.0	0.0015206968	0.0	0.0	0.0	0.0234375	0.013848039	0.033272058
../fasta/ref/bacteria/69/34/GCF_014334695.1_ASM1433469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_021134695.1_ASM2113469v1_genomic.fna.gz	21	131072	76.5406	0.000345355	0.00019931847	0.0	0.001843	0.0	0.0	0.0043945312	0.0	0.000119875614	0.00048828125	0.0003989945	0.0	0.018066406	0.012377451	0.030085783
../fasta/ref/bacteria/69/34/GCF_001034695.1_ASM103469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_019134695.1_ASM1913469v1_genomic.fna.gz	21	131072	76.127	0.0006688704	0.0006474858	0.0	0.00646658	0.0	0.0	0.004638672	0.0	0.0	0.0014648438	0.00031154108	0.00048828125	0.051757812	0.012622549	0.062316176
../fasta/ref/bacteria/69/34/GCF_900034695.1_12754_5_84_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_000534695.1_Ente_cloa_complex_MGH_6_V2_genomic.fna.gz	21	131072	76.6845	4.9748243e-05	4.445832e-05	0.0	0.0	0.0	0.0	0.0033569336	0.0	0.0	0.0	0.0	0.0	0.040039062	0.011151961	0.04718137
../fasta/ref/bacteria/69/34/GCF_012934695.1_ASM1293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/37/GCF_900637695.1_52451_C01_genomic.fna.gz	21	131072	75.6729	5.2623378e-05	3.338873e-05	0.0	0.0	0.0	0.0	0.0036010742	0.0	1.22934725e-05	0.0	0.0	0.0	0.03857422	0.0106004905	0.051286764
../fasta/ref/bacteria/69/02/GCF_009902695.1_ASM990269v1_genomic.fna.gz	../fasta/ref/bacteria/69/02/GCF_003302695.1_ASM330269v1_genomic.fna.gz	21	131072	82.3998	0.021515122	0.020909613	0.023925781	0.0157731	0.024	0.017089844	0.022949219	0.018554688	0.021368379	0.024414062	0.021033136	0.021972656	0.05908203	0.03192402	0.072365195
../fasta/ref/bacteria/69/02/GCF_004102695.1_ASM410269v1_genomic.fna.gz	../fasta/ref/bacteria/02/21/GCF_900221025.1_IMG-taxon_2671180026_annotated_assembly_genomic.fna.gz	21	131072	85.3477	0.038472913	0.038216684	0.030761719	0.033645	0.031	0.028808594	0.03918457	0.03564453	0.03778569	0.041503906	0.035114046	0.03173828	0.06933594	0.050428923	0.075612746
../fasta/ref/bacteria/69/02/GCF_014202695.1_ASM1420269v1_genomic.fna.gz	../fasta/ref/bacteria/05/38/GCF_000238055.2_Oribacterium_sp_ACB1_V2_genomic.fna.gz	21	131072	81.8493	0.01875441	0.01812858	0.021972656	0.0101676	0.022	0.016601562	0.020812988	0.018554688	0.018734695	0.018554688	0.0151838325	0.020507812	0.033691406	0.029656863	0.050183825
../fasta/ref/bacteria/69/02/GCF_003602695.1_ASM360269v1_genomic.fna.gz	../fasta/ref/bacteria/69/60/GCF_015560695.1_ASM1556069v1_genomic.fna.gz	21	131072	80.8999	0.014592925	0.014414992	0.018554688	0.00704983	0.019	0.016113281	0.017150879	0.0126953125	0.013618839	0.015625	0.0129043935	0.0107421875	0.05810547	0.024509804	0.068627454
../fasta/ref/bacteria/69/02/GCF_023702695.1_ASM2370269v1_genomic.fna.gz	../fasta/ref/bacteria/69/09/GCF_022809695.1_ASM2280969v1_genomic.fna.gz	21	131072	82.8878	0.023207676	0.019663082	0.015625	0.0168798	0.016	0.027832031	0.02355957	0.021972656	0.019458104	0.020507812	0.021485325	0.017089844	0.04638672	0.037193626	0.061703432
../fasta/ref/bacteria/69/80/GCF_003480695.1_ASM348069v1_genomic.fna.gz	../fasta/ref/bacteria/37/80/GCF_003480375.1_ASM348037v1_genomic.fna.gz	21	131072	82.6309	0.015387236	0.014693896	0.015625	0.0176249	0.016	0.0126953125	0.018371582	0.017089844	0.014392874	0.011230469	0.01592175	0.016113281	0.046875	0.022426471	0.05435049
../fasta/ref/bacteria/69/05/GCF_002705695.1_ASM270569v1_genomic.fna.gz	../fasta/ref/bacteria/69/56/GCF_000156695.2_ASM15669v2_genomic.fna.gz	21	131072	84.7359	0.028005935	0.027696876	0.026367188	0.0328814	0.026	0.028320312	0.027770996	0.027832031	0.029123882	0.02734375	0.028247911	0.020019531	0.07519531	0.03547794	0.087254904
../fasta/ref/bacteria/69/05/GCF_902705695.1_21877_MH06_genomic.fna.gz	../fasta/ref/bacteria/69/83/GCF_900083695.1_12045_6_61_genomic.fna.gz	21	131072	84.3558	0.028595712	0.02830287	0.032226562	0.0327849	0.032	0.026855469	0.03277588	0.029296875	0.02870762	0.03173828	0.030538471	0.020996094	0.07421875	0.03927696	0.08069853
../fasta/ref/bacteria/69/83/GCF_900983695.1_19944_6_162_genomic.fna.gz	../fasta/ref/bacteria/69/73/GCF_002073695.2_ASM207369v2_genomic.fna.gz	21	131072	82.9899	0.01736114	0.016257	0.015625	0.0125233	0.016	0.0234375	0.022460938	0.018554688	0.016407346	0.0146484375	0.015668472	0.01171875	0.029785156	0.026838236	0.04227941
../fasta/ref/bacteria/69/53/GCF_001953695.1_ASM195369v1_genomic.fna.gz	../fasta/ref/bacteria/69/56/GCF_009856695.1_ASM985669v1_genomic.fna.gz	21	131072	83.1951	0.022397764	0.019977914	0.021972656	0.0206151	0.022	0.014160156	0.022766113	0.022949219	0.019762756	0.020019531	0.020735862	0.016601562	0.06298828	0.030943627	0.07389706
../fasta/ref/bacteria/69/85/GCF_013385695.1_ASM1338569v1_genomic.fna.gz	../fasta/ref/bacteria/69/70/GCF_903970695.1_ASM90397069v1_genomic.fna.gz	21	131072	87.3276	0.044800106	0.044456787	0.047851562	0.0519192	0.048	0.04345703	0.04925537	0.041992188	0.044809707	0.044433594	0.045649502	0.047851562	0.09033203	0.057781864	0.10073529
../fasta/ref/bacteria/69/88/GCF_022788695.1_ASM2278869v1_genomic.fna.gz	../fasta/ref/bacteria/69/05/GCF_020905695.1_ASM2090569v1_genomic.fna.gz	21	131072	87.8466	0.05150836	0.050581615	0.05908203	0.0510487	0.059	0.045898438	0.054748535	0.055664062	0.04850724	0.052246094	0.055476356	0.052734375	0.08496094	0.062254902	0.09203431
../fasta/ref/bacteria/69/53/GCF_014653695.1_ASM1465369v1_genomic.fna.gz	../fasta/ref/bacteria/34/65/GCF_003265345.1_ASM326534v1_genomic.fna.gz	21	131072	87.3212	0.04590037	0.045705967	0.04638672	0.0479966	0.046	0.038085938	0.046142578	0.052734375	0.04227502	0.047851562	0.045638025	0.045898438	0.12060547	0.05814951	0.11936274
../fasta/ref/bacteria/69/51/GCF_014651695.1_ASM1465169v1_genomic.fna.gz	../fasta/ref/bacteria/02/82/GCF_003182025.1_ASM318202v1_genomic.fna.gz	21	131072	86.7039	0.042943172	0.042726796	0.040527344	0.0477257	0.041	0.032226562	0.044677734	0.03955078	0.042756695	0.05029297	0.043634742	0.040039062	0.09033203	0.05300245	0.090441175
../fasta/ref/bacteria/69/21/GCF_013821695.1_ASM1382169v1_genomic.fna.gz	../fasta/ref/bacteria/69/47/GCF_018447695.1_ASM1844769v1_genomic.fna.gz	21	131072	86.9987	0.049667682	0.049085148	0.052246094	0.048318	0.052	0.046875	0.054748535	0.05029297	0.050605938	0.044921875	0.050171413	0.055664062	0.08105469	0.05667892	0.09601716
../fasta/ref/bacteria/69/59/GCF_013359695.1_ASM1335969v1_genomic.fna.gz	../fasta/ref/bacteria/37/13/GCF_002113375.1_ASM211337v1_genomic.fna.gz	21	131072	87.0614	0.048316933	0.04702379	0.048339844	0.0524445	0.048	0.049804688	0.050720215	0.04345703	0.04215944	0.044433594	0.048000704	0.044921875	0.10449219	0.058088236	0.10012255
../fasta/ref/bacteria/69/27/GCF_007827695.1_ASM782769v1_genomic.fna.gz	../fasta/ref/bacteria/37/02/GCF_002302375.1_ASM230237v1_genomic.fna.gz	21	131072	87.2882	0.046966437	0.046634965	0.041503906	0.0558539	0.042	0.04736328	0.05255127	0.049316406	0.048254184	0.045898438	0.048098087	0.04736328	0.08544922	0.05355392	0.09246323
