#G1	G2	K	sketchsize	ANI	WJI	JI	Mash	Dash1	SM	BD8	BD1	SS8	SS1	FSS8	FSS1	PMH8Exact	PMH8-50000000	PMH1Exact	PMH1-50000000
../fasta/ref/bacteria/69/69/GCF_022569695.1_ASM2256969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_002769695.1_ASM276969v1_genomic.fna.gz	31	131072	74.901	2.1880272e-05	2.1880272e-05	0.0	0.00131365	0.0	0.0	0.003967285	0.0	0.0	0.0	0.0	0.0	0.02734375	0.011642157	0.0375
../fasta/ref/bacteria/69/69/GCF_900169695.1_15.TR.020_20OXA_OXA-48_KPC_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000669695.1_Myco_tube_OFXR-28_V1_genomic.fna.gz	31	131072	75.2994	1.0500177e-05	1.0500177e-05	0.0	0.00248805	0.0	0.0	0.0037231445	0.0	0.0	0.0	0.0	0.0	0.044433594	0.011397059	0.051960785
../fasta/ref/bacteria/69/69/GCF_015669695.1_ASM1566969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_022369695.1_ASM2236969v1_genomic.fna.gz	31	131072	88.0654	6.378193e-05	5.4812102e-05	0.00048828125	0.00385039	0.0	0.0	0.003112793	0.0	0.0	0.0	0.0001228632	0.0	0.020019531	0.011642157	0.034497548
../fasta/ref/bacteria/69/69/GCF_014169695.1_ASM1416969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000569695.1_Stap_aure_M91155_V1_genomic.fna.gz	31	131072	78.861	5.0537135e-05	1.3782349e-05	0.0	0.0035958	0.0	0.0	0.00390625	0.0	0.00039797198	0.0	0.0	0.0	0.03515625	0.010232843	0.04675245
../fasta/ref/bacteria/69/34/GCF_003634695.1_ASM363469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_006234695.1_ASM623469v1_genomic.fna.gz	31	131072	74.4629	9.814477e-06	9.814477e-06	0.0	0.0100843	0.0	0.0	0.0044555664	0.0	0.0	0.0	0.0006247037	0.0	0.044433594	0.011090687	0.051838234
../fasta/ref/bacteria/69/34/GCF_002934695.1_ASM293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_001334695.1_6593_5_12_genomic.fna.gz	31	131072	77.7434	2.9119292e-05	2.9119292e-05	0.0	0.0	0.0	0.0	0.004272461	0.0	0.0014337836	0.0	0.00010285419	0.0	0.02734375	0.011029412	0.035906862
../fasta/ref/bacteria/69/34/GCF_014334695.1_ASM1433469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_021134695.1_ASM2113469v1_genomic.fna.gz	31	131072	76.5406	0.000137159	8.115731e-05	0.0	0.000661294	0.0	0.0	0.0036010742	0.0	0.0	0.0	0.00058617396	0.0	0.022949219	0.0104779415	0.029656863
../fasta/ref/bacteria/69/34/GCF_001034695.1_ASM103469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_019134695.1_ASM1913469v1_genomic.fna.gz	31	131072	76.127	0.00013000329	0.00011766575	0.0	0.00742649	0.0	0.0	0.003967285	0.0	0.00052444864	0.0	0.0	0.0	0.044433594	0.01317402	0.05968137
../fasta/ref/bacteria/69/34/GCF_900034695.1_12754_5_84_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_000534695.1_Ente_cloa_complex_MGH_6_V2_genomic.fna.gz	31	131072	76.6845	1.5743391e-05	1.5113647e-05	0.0	0.00095846	0.0	0.0	0.004699707	0.0	0.0021080668	0.0	0.0	0.0	0.028320312	0.010539216	0.043933824
../fasta/ref/bacteria/69/34/GCF_012934695.1_ASM1293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/37/GCF_900637695.1_52451_C01_genomic.fna.gz	31	131072	75.6729	1.6207896e-05	8.103882e-06	0.0	0.00386671	0.0	0.0	0.0041503906	0.0	0.0	0.0	0.0	0.0	0.03857422	0.0109681375	0.05269608
../fasta/ref/bacteria/69/02/GCF_009902695.1_ASM990269v1_genomic.fna.gz	../fasta/ref/bacteria/69/02/GCF_003302695.1_ASM330269v1_genomic.fna.gz	31	131072	82.3998	0.013326543	0.012914713	0.013671875	0.0118952	0.014	0.014160156	0.016357422	0.01171875	0.011654131	0.010253906	0.011635879	0.012207031	0.05419922	0.025735294	0.064460784
../fasta/ref/bacteria/69/02/GCF_004102695.1_ASM410269v1_genomic.fna.gz	../fasta/ref/bacteria/02/21/GCF_900221025.1_IMG-taxon_2671180026_annotated_assembly_genomic.fna.gz	31	131072	85.3477	0.019425176	0.019301686	0.022460938	0.0167422	0.022	0.020507812	0.021606445	0.021484375	0.018521547	0.022460938	0.01946047	0.016113281	0.053222656	0.03057598	0.060784314
